,m,x,r,d,v,ns,n,zg,t,l,c,uj,ul,p,nz,f,a,nr,eng,nrt,vn,s,u,b,y,df,i,ad,nt,an,vq,ug,j,h,uz,g,q,ud,z,rr,ng,vg,uv,k,mq,o,ag,yg,e,nrfg,rz,vd,vi,tg,dg
vq,,"(4, 30230)","(5, 17697)","(5, 13132)","(12, 42175)",,,,"(1, 1894)",,"(2, 7805)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug,"(2, 14038)","(3, 30230)","(1, 17697)","(8, 13132)","(265, 42175)","(2, 13006)","(22, 40020)","(1, 795)","(3, 1894)","(2, 3134)",,,,"(2, 8822)","(1, 2422)","(6, 2458)","(8, 7169)",,,"(1, 296)","(15, 1549)",,,,,,,,,,,,"(1, 564)",,,,"(1, 485)","(1, 395)","(1, 144)",,"(1, 196)",,,,,,,,,,,,,,
j,"(12, 14038)","(99, 30230)","(16, 17697)","(4, 13132)","(60, 42175)","(18, 13006)","(22, 40020)",,"(1, 1894)","(1, 3134)","(7, 7805)","(9, 10574)",,"(223, 8822)","(24, 2422)","(6, 2458)","(9, 7169)","(6, 3570)",,,"(1, 1549)","(2, 849)","(1, 373)","(2, 796)",,,,"(1, 610)",,,,,"(39, 564)","(1, 23)",,,"(3, 485)","(1, 395)",,,"(3, 196)","(1, 58)",,,,,,,,,,,,,
h,"(1, 14038)","(4, 30230)","(4, 17697)","(1, 13132)",,,"(2, 40020)",,,,"(5, 7805)",,,"(4, 8822)",,,,,,,,,,"(1, 796)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uz,,,,,"(128, 42175)",,"(8, 40020)",,,,,,,"(2, 8822)",,,"(2, 7169)","(4, 3570)",,,"(3, 1549)",,"(4, 373)",,,,,,,,,,,,,,"(1, 485)",,,,"(1, 196)","(2, 58)",,,,"(1, 37)",,,,,,,,,
g,,,"(3, 17697)",,"(7, 42175)",,"(4, 40020)",,,,,"(57, 10574)",,,,,"(2, 7169)","(1, 3570)",,"(1, 296)",,,,,,,,"(3, 610)",,,,,,,,,,,,,,,"(2, 54)",,,,,"(1, 8)",,,,,,,
q,"(12, 14038)","(9, 30230)","(76, 17697)","(11, 13132)","(250, 42175)",,"(39, 40020)","(1, 795)",,"(1, 3134)","(14, 7805)","(5, 10574)","(22, 1329)","(6, 8822)","(2, 2422)","(19, 2458)","(8, 7169)","(3, 3570)",,"(2, 296)","(2, 1549)","(2, 849)","(1, 373)",,,,"(2, 747)",,,,,,"(1, 564)",,"(2, 149)",,"(2, 485)",,,,"(1, 196)",,,,,,,,,,,,,,
ud,"(1, 14038)","(6, 30230)","(5, 17697)","(25, 13132)","(95, 42175)","(1, 13006)","(8, 40020)",,,,"(1, 7805)",,,,,,"(245, 7169)",,,,,,,"(1, 796)",,,,,,,,"(8, 329)",,,,,,,,,,,,,,,"(1, 15)",,,,,,,,
z,"(3, 14038)","(12, 30230)","(16, 17697)","(8, 13132)","(25, 42175)","(1, 13006)","(27, 40020)",,"(3, 1894)","(1, 3134)","(10, 7805)","(7, 10574)","(1, 1329)","(7, 8822)","(3, 2422)","(1, 2458)","(2, 7169)","(2, 3570)",,"(1, 296)","(2, 1549)","(1, 849)","(1, 373)",,,,"(2, 747)",,,,,"(1, 329)",,,,,"(2, 485)","(3, 395)","(4, 144)",,"(1, 196)",,,,,"(1, 37)",,,,,,,,,
rr,,"(3, 30230)","(2, 17697)",,"(2, 42175)","(1, 13006)",,,,,"(1, 7805)",,,"(1, 8822)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
